Financial Year,Gender of the Adult,Age band of the Adult,Disability Status of the Adult (dis),"Employment Status of the Adult (high level breakdowns) (emp, ftpt)",Government office region of the Household in the United Kingdom,"Adult total, net Income received from all sources, in bands, in latest prices (weekly, CPI adjusted real terms) (colpall, cpi, dividend, inc, netinc, real, sc)",Count
2022-23,,,,,,£100 - £149.99,2124
2022-23,,,,,,£150 - £199.99,1088
2022-23,,,,,,£200 - £249.99,3373
2022-23,,,,,,£250 - £299.99,3126
2022-23,,,,,,£300 - £399.99,7065
2022-23,,,,,,£400 - £499.99,4155
2022-23,,,,,,£500 or more,3994
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,3158
2022-23,,,,,,£100 - £149.99,1026
2022-23,,,,,,£150 - £199.99,1054
2022-23,,,,,,£200 - £249.99,1820
2022-23,,,,,,£250 - £299.99,3314
2022-23,,,,,,£300 - £399.99,4126
2022-23,,,,,,£400 - £499.99,2773
2022-23,,,,,,£500 or more,2520
2022-23,,,,,East (E12000006),Less than £50,1303
2022-23,,,,,,£50 - £99.99,1040
2022-23,,,,,,£100 - £149.99,1714
2022-23,,,,,,£150 - £199.99,1590
2022-23,,,,,,£200 - £249.99,2129
2022-23,,,,,,£250 - £299.99,4978
2022-23,,,,,,£300 - £399.99,2489
2022-23,,,,,,£400 - £499.99,3370
2022-23,,,,,,£500 or more,6286
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,2120
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,3878
2022-23,,,,,,£400 - £499.99,1520
2022-23,,,,,,£500 or more,8851
2022-23,,,,,South East (E12000008),Less than £50,1163
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1949
2022-23,,,,,,£250 - £299.99,3471
2022-23,,,,,,£300 - £399.99,2848
2022-23,,,,,,£400 - £499.99,4234
2022-23,,,,,,£500 or more,5489
2022-23,,,,,South West (E12000009),Less than £50,963
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,2779
2022-23,,,,,,£150 - £199.99,800
2022-23,,,,,,£200 - £249.99,1552
2022-23,,,,,,£250 - £299.99,730
2022-23,,,,,,£300 - £399.99,3768
2022-23,,,,,,£400 - £499.99,3160
2022-23,,,,,,£500 or more,2498
2022-23,,,,,Wales (W92000004),Less than £50,2269
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,2162
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,3269
2022-23,,,,,,£300 - £399.99,1549
2022-23,,,,,,£400 - £499.99,4702
2022-23,,,,,,£500 or more,1112
2022-23,,,,,Scotland (S92000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,793
2022-23,,,,,,£100 - £149.99,2855
2022-23,,,,,,£150 - £199.99,1987
2022-23,,,,,,£200 - £249.99,742
2022-23,,,,,,£250 - £299.99,866
2022-23,,,,,,£300 - £399.99,4091
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,2669
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,323
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,275
2022-23,,,,,,£300 - £399.99,2058
2022-23,,,,,,£400 - £499.99,1721
2022-23,,,,,,£500 or more,3056
2022-23,,,,Self-employed (setyp),North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,876
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,959
2022-23,,,,,North West (E12000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,683
2022-23,,,,,,£100 - £149.99,793
2022-23,,,,,,£150 - £199.99,1608
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,785
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,1457
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,971
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East Midlands (E12000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1236
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,1077
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,813
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,745
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,1105
2022-23,,,,,,£500 or more,816
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,8235
2022-23,,,,,South East (E12000008),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,1643
2022-23,,,,,South West (E12000009),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,777
2022-23,,,,,,£400 - £499.99,725
2022-23,,,,,,£500 or more,740
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Scotland (S92000003),Less than £50,901
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,747
2022-23,,,,,,£400 - £499.99,749
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,Unemployed,North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1333
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,976
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East Midlands (E12000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,757
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South East (E12000008),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South West (E12000009),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,879
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Scotland (S92000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,Retired,North East (E12000001),Less than £50,2847
2022-23,,,,,,£50 - £99.99,591
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,855
2022-23,,,,,,£200 - £249.99,1550
2022-23,,,,,,£250 - £299.99,762
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,699
2022-23,,,,,North West (E12000002),Less than £50,2433
2022-23,,,,,,£50 - £99.99,1067
2022-23,,,,,,£100 - £149.99,3175
2022-23,,,,,,£150 - £199.99,2566
2022-23,,,,,,£200 - £249.99,3299
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,1734
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,1537
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,2848
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,768
2022-23,,,,,,£200 - £249.99,865
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,786
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,1264
2022-23,,,,,East Midlands (E12000004),Less than £50,4657
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,2390
2022-23,,,,,,£150 - £199.99,2838
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,1757
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,1811
2022-23,,,,,,£50 - £99.99,2612
2022-23,,,,,,£100 - £149.99,1202
2022-23,,,,,,£150 - £199.99,1959
2022-23,,,,,,£200 - £249.99,757
2022-23,,,,,,£250 - £299.99,757
2022-23,,,,,,£300 - £399.99,2732
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East (E12000006),Less than £50,5040
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,755
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1919
2022-23,,,,,,£250 - £299.99,1825
2022-23,,,,,,£300 - £399.99,986
2022-23,,,,,,£400 - £499.99,2054
2022-23,,,,,,£500 or more,986
2022-23,,,,,London (E12000007),Less than £50,2880
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1471
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,1471
2022-23,,,,,,£500 or more,..
2022-23,,,,,South East (E12000008),Less than £50,6950
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,888
2022-23,,,,,,£150 - £199.99,880
2022-23,,,,,,£200 - £249.99,787
2022-23,,,,,,£250 - £299.99,888
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,South West (E12000009),Less than £50,7691
2022-23,,,,,,£50 - £99.99,2667
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,858
2022-23,,,,,,£200 - £249.99,727
2022-23,,,,,,£250 - £299.99,879
2022-23,,,,,,£300 - £399.99,847
2022-23,,,,,,£400 - £499.99,691
2022-23,,,,,,£500 or more,..
2022-23,,,,,Wales (W92000004),Less than £50,3019
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,659
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,Scotland (S92000003),Less than £50,992
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,796
2022-23,,,,,,£150 - £199.99,886
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,990
2022-23,,,,,,£300 - £399.99,992
2022-23,,,,,,£400 - £499.99,2521
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,896
2022-23,,,,,,£50 - £99.99,323
2022-23,,,,,,£100 - £149.99,275
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,275
2022-23,,,,,,£250 - £299.99,342
2022-23,,,,,,£300 - £399.99,550
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,275
2022-23,,,,Other economically inactive (oei),North East (E12000001),Less than £50,719
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,602
2022-23,,,,,,£150 - £199.99,3389
2022-23,,,,,,£200 - £249.99,3480
2022-23,,,,,,£250 - £299.99,3380
2022-23,,,,,,£300 - £399.99,706
2022-23,,,,,,£400 - £499.99,1677
2022-23,,,,,,£500 or more,624
2022-23,,,,,North West (E12000002),Less than £50,5867
2022-23,,,,,,£50 - £99.99,3580
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,6142
2022-23,,,,,,£200 - £249.99,8906
2022-23,,,,,,£250 - £299.99,7268
2022-23,,,,,,£300 - £399.99,11795
2022-23,,,,,,£400 - £499.99,4506
2022-23,,,,,,£500 or more,1732
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,3139
2022-23,,,,,,£50 - £99.99,4692
2022-23,,,,,,£100 - £149.99,2166
2022-23,,,,,,£150 - £199.99,6624
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,3222
2022-23,,,,,,£300 - £399.99,3405
2022-23,,,,,,£400 - £499.99,2449
2022-23,,,,,,£500 or more,..
2022-23,,,,,East Midlands (E12000004),Less than £50,1696
2022-23,,,,,,£50 - £99.99,2487
2022-23,,,,,,£100 - £149.99,7725
2022-23,,,,,,£150 - £199.99,6725
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,5193
2022-23,,,,,,£300 - £399.99,3935
2022-23,,,,,,£400 - £499.99,2278
2022-23,,,,,,£500 or more,..
2022-23,,,,,West Midlands (E12000005),Less than £50,5252
2022-23,,,,,,£50 - £99.99,1902
2022-23,,,,,,£100 - £149.99,2384
2022-23,,,,,,£150 - £199.99,2491
2022-23,,,,,,£200 - £249.99,2873
2022-23,,,,,,£250 - £299.99,1891
2022-23,,,,,,£300 - £399.99,5592
2022-23,,,,,,£400 - £499.99,1844
2022-23,,,,,,£500 or more,937
2022-23,,,,,East (E12000006),Less than £50,4265
2022-23,,,,,,£50 - £99.99,2534
2022-23,,,,,,£100 - £149.99,1494
2022-23,,,,,,£150 - £199.99,4585
2022-23,,,,,,£200 - £249.99,4165
2022-23,,,,,,£250 - £299.99,4397
2022-23,,,,,,£300 - £399.99,5350
2022-23,,,,,,£400 - £499.99,2283
2022-23,,,,,,£500 or more,739
2022-23,,,,,London (E12000007),Less than £50,1865
2022-23,,,,,,£50 - £99.99,6777
2022-23,,,,,,£100 - £149.99,9390
2022-23,,,,,,£150 - £199.99,4351
2022-23,,,,,,£200 - £249.99,1447
2022-23,,,,,,£250 - £299.99,3282
2022-23,,,,,,£300 - £399.99,2905
2022-23,,,,,,£400 - £499.99,4603
2022-23,,,,,,£500 or more,1447
2022-23,,,,,South East (E12000008),Less than £50,6955
2022-23,,,,,,£50 - £99.99,4930
2022-23,,,,,,£100 - £149.99,1898
2022-23,,,,,,£150 - £199.99,812
2022-23,,,,,,£200 - £249.99,2835
2022-23,,,,,,£250 - £299.99,3701
2022-23,,,,,,£300 - £399.99,4892
2022-23,,,,,,£400 - £499.99,5670
2022-23,,,,,,£500 or more,2067
2022-23,,,,,South West (E12000009),Less than £50,4473
2022-23,,,,,,£50 - £99.99,4610
2022-23,,,,,,£100 - £149.99,5345
2022-23,,,,,,£150 - £199.99,2463
2022-23,,,,,,£200 - £249.99,1713
2022-23,,,,,,£250 - £299.99,2830
2022-23,,,,,,£300 - £399.99,4784
2022-23,,,,,,£400 - £499.99,2756
2022-23,,,,,,£500 or more,938
2022-23,,,,,Wales (W92000004),Less than £50,2469
2022-23,,,,,,£50 - £99.99,738
2022-23,,,,,,£100 - £149.99,1041
2022-23,,,,,,£150 - £199.99,3552
2022-23,,,,,,£200 - £249.99,698
2022-23,,,,,,£250 - £299.99,1376
2022-23,,,,,,£300 - £399.99,1344
2022-23,,,,,,£400 - £499.99,888
2022-23,,,,,,£500 or more,..
2022-23,,,,,Scotland (S92000003),Less than £50,4867
2022-23,,,,,,£50 - £99.99,4522
2022-23,,,,,,£100 - £149.99,2672
2022-23,,,,,,£150 - £199.99,4258
2022-23,,,,,,£200 - £249.99,6306
2022-23,,,,,,£250 - £299.99,6399
2022-23,,,,,,£300 - £399.99,1921
2022-23,,,,,,£400 - £499.99,3643
2022-23,,,,,,£500 or more,..
2022-23,,,,,Northern Ireland (N92000002),Less than £50,2368
2022-23,,,,,,£50 - £99.99,2451
2022-23,,,,,,£100 - £149.99,1107
2022-23,,,,,,£150 - £199.99,3835
2022-23,,,,,,£200 - £249.99,825
2022-23,,,,,,£250 - £299.99,2045
2022-23,,,,,,£300 - £399.99,2227
2022-23,,,,,,£400 - £499.99,2336
2022-23,,,,,,£500 or more,..
2022-23,,65 to 74 (age),Not a disabled child / adult / person,Employee,North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,762
2022-23,,,,,,£250 - £299.99,3385
2022-23,,,,,,£300 - £399.99,2006
2022-23,,,,,,£400 - £499.99,4218
2022-23,,,,,,£500 or more,3224
2022-23,,,,,North West (E12000002),Less than £50,785
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1786
2022-23,,,,,,£200 - £249.99,1726
2022-23,,,,,,£250 - £299.99,3229
2022-23,,,,,,£300 - £399.99,9337
2022-23,,,,,,£400 - £499.99,4874
2022-23,,,,,,£500 or more,2958
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,726
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,779
2022-23,,,,,,£200 - £249.99,795
2022-23,,,,,,£250 - £299.99,675
2022-23,,,,,,£300 - £399.99,1507
2022-23,,,,,,£400 - £499.99,3270
2022-23,,,,,,£500 or more,8177
2022-23,,,,,East Midlands (E12000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,2047
2022-23,,,,,,£200 - £249.99,1302
2022-23,,,,,,£250 - £299.99,2080
2022-23,,,,,,£300 - £399.99,7608
2022-23,,,,,,£400 - £499.99,2757
2022-23,,,,,,£500 or more,11757
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,933
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,830
2022-23,,,,,,£200 - £249.99,5373
2022-23,,,,,,£250 - £299.99,4060
2022-23,,,,,,£300 - £399.99,4132
2022-23,,,,,,£400 - £499.99,2953
2022-23,,,,,,£500 or more,10942
2022-23,,,,,East (E12000006),Less than £50,..
2022-23,,,,,,£50 - £99.99,1731
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,814
2022-23,,,,,,£200 - £249.99,5177
2022-23,,,,,,£250 - £299.99,2390
2022-23,,,,,,£300 - £399.99,8930
2022-23,,,,,,£400 - £499.99,1482
2022-23,,,,,,£500 or more,10728
2022-23,,,,,London (E12000007),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,3701
2022-23,,,,,,£200 - £249.99,4286
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,9812
2022-23,,,,,,£400 - £499.99,11274
2022-23,,,,,,£500 or more,11845
2022-23,,,,,South East (E12000008),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,1033
2022-23,,,,,,£200 - £249.99,1912
2022-23,,,,,,£250 - £299.99,2537
2022-23,,,,,,£300 - £399.99,7024
2022-23,,,,,,£400 - £499.99,6649
2022-23,,,,,,£500 or more,16225
2022-23,,,,,South West (E12000009),Less than £50,1695
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,3280
2022-23,,,,,,£250 - £299.99,3084
2022-23,,,,,,£300 - £399.99,4953
2022-23,,,,,,£400 - £499.99,8078
2022-23,,,,,,£500 or more,14541
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,2618
2022-23,,,,,,£250 - £299.99,1421
2022-23,,,,,,£300 - £399.99,1334
2022-23,,,,,,£400 - £499.99,5699
2022-23,,,,,,£500 or more,3269
2022-23,,,,,Scotland (S92000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,901
2022-23,,,,,,£150 - £199.99,1498
2022-23,,,,,,£200 - £249.99,1737
2022-23,,,,,,£250 - £299.99,1487
2022-23,,,,,,£300 - £399.99,2241
2022-23,,,,,,£400 - £499.99,5430
2022-23,,,,,,£500 or more,6017
2022-23,,,,,Northern Ireland (N92000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,275
2022-23,,,,,,£150 - £199.99,550
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,2738
2022-23,,,,,,£400 - £499.99,1268
2022-23,,,,,,£500 or more,893
2022-23,,,,Self-employed (setyp),North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,588
2022-23,,,,,North West (E12000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,785
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,733
2022-23,,,,,,£300 - £399.99,719
2022-23,,,,,,£400 - £499.99,1397
