,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",11084,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",15004,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",15004,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",15004,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",15004,0.00,,
,,,,,"Owned outright","Working-age","No or none",7613,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7613,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",7613,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7613,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",7712,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7712,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",7712,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7712,0.00,,
,,,,,"Total","Working-age","No or none",41413,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",41413,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",41413,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",41413,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",7878,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7878,0.00,,
,,,,,,"Pensioner (spa)","No or none",1240,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1240,0.00,,
,,,,,,"Total","No or none",9118,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9118,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",15152,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",15152,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",15152,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",15152,0.00,,
,,,,,"Owned outright","Working-age","No or none",13682,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",13682,0.00,,
,,,,,,"Pensioner (spa)","No or none",1688,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1688,0.00,,
,,,,,,"Total","No or none",15370,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",15370,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",22767,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",22767,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",22767,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",22767,0.00,,
,,,,,"Total","Working-age","No or none",59479,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",59479,0.00,,
,,,,,,"Pensioner (spa)","No or none",2928,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2928,0.00,,
,,,,,,"Total","No or none",62407,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",62407,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",41844,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",41844,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",41844,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",41844,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",60981,0.00,,
,,,,,,,"Yes",2307,0.00,,
,,,,,,,"Total",63288,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",60981,0.00,,
,,,,,,,"Yes",2307,0.00,,
,,,,,,,"Total",63288,0.00,,
,,,,,"Owned outright","Working-age","No or none",60498,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",60498,0.00,,
,,,,,,"Pensioner (spa)","No or none",2478,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2478,0.00,,
,,,,,,"Total","No or none",62976,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",62976,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",94371,0.00,,
,,,,,,,"Yes",1717,0.00,,
,,,,,,,"Total",96088,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",94371,0.00,,
,,,,,,,"Yes",1717,0.00,,
,,,,,,,"Total",96088,0.00,,
,,,,,"Total","Working-age","No or none",257694,0.00,,
,,,,,,,"Yes",4024,0.00,,
,,,,,,,"Total",261718,0.00,,
,,,,,,"Pensioner (spa)","No or none",2478,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2478,0.00,,
,,,,,,"Total","No or none",260172,0.00,,
,,,,,,,"Yes",4024,0.00,,
,,,,,,,"Total",264196,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",13120,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",13120,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",13120,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",13120,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",70017,0.00,,
,,,,,,,"Yes",3554,0.00,,
,,,,,,,"Total",73571,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",70017,0.00,,
,,,,,,,"Yes",3554,0.00,,
,,,,,,,"Total",73571,0.00,,
,,,,,"Owned outright","Working-age","No or none",47415,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",47415,0.00,,
,,,,,,"Pensioner (spa)","No or none",3493,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3493,0.00,,
,,,,,,"Total","No or none",50908,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",50908,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",103067,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",103067,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",103067,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",103067,0.00,,
,,,,,"Total","Working-age","No or none",233619,0.00,,
,,,,,,,"Yes",3554,0.00,,
,,,,,,,"Total",237173,0.00,,
,,,,,,"Pensioner (spa)","No or none",3493,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3493,0.00,,
,,,,,,"Total","No or none",237112,0.00,,
,,,,,,,"Yes",3554,0.00,,
,,,,,,,"Total",240666,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",13450,0.00,,
,,,,,,,"Yes",2310,0.00,,
,,,,,,,"Total",15760,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",13450,0.00,,
,,,,,,,"Yes",2310,0.00,,
,,,,,,,"Total",15760,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",69925,0.00,,
,,,,,,,"Yes",1752,0.00,,
,,,,,,,"Total",71677,0.00,,
,,,,,,"Pensioner (spa)","No or none",759,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",759,0.00,,
,,,,,,"Total","No or none",70684,0.00,,
,,,,,,,"Yes",1752,0.00,,
,,,,,,,"Total",72436,0.00,,
,,,,,"Owned outright","Working-age","No or none",125724,0.00,,
,,,,,,,"Yes",4902,0.00,,
,,,,,,,"Total",130626,0.00,,
,,,,,,"Pensioner (spa)","No or none",6671,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6671,0.00,,
,,,,,,"Total","No or none",132395,0.00,,
,,,,,,,"Yes",4902,0.00,,
,,,,,,,"Total",137297,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",314851,0.00,,
,,,,,,,"Yes",7957,0.00,,
,,,,,,,"Total",322808,0.00,,
,,,,,,"Pensioner (spa)","No or none",785,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",785,0.00,,
,,,,,,"Total","No or none",315636,0.00,,
,,,,,,,"Yes",7957,0.00,,
,,,,,,,"Total",323593,0.00,,
,,,,,"Total","Working-age","No or none",523950,0.00,,
,,,,,,,"Yes",16921,0.00,,
,,,,,,,"Total",540871,0.00,,
,,,,,,"Pensioner (spa)","No or none",8215,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8215,0.00,,
,,,,,,"Total","No or none",532165,0.00,,
,,,,,,,"Yes",16921,0.00,,
,,,,,,,"Total",549086,0.00,,
,,,"Yorkshire and The Humber (E12000003)","Less than £50","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",2817,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2817,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2817,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2817,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",2817,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2817,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2817,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2817,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",1894,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1894,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1894,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1894,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",2614,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2614,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2614,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2614,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",2883,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2883,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",2883,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2883,0.00,,
,,,,,"Total","Working-age","No or none",7391,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7391,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",7391,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7391,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",1616,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1616,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1616,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1616,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",12251,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",12251,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",12251,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",12251,0.00,,
,,,,,"Owned outright","Working-age","No or none",7532,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7532,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",7532,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7532,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",21399,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",21399,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",21399,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",21399,0.00,,
,,,,"£150 - £199.99","Social renting","Working-age","No or none",4748,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4748,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4748,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",4748,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",7331,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7331,0.00,,
,,,,,,"Pensioner (spa)","No or none",1156,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1156,0.00,,
,,,,,,"Total","No or none",8487,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",8487,0.00,,
,,,,,"Owned outright","Working-age","No or none",5332,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5332,0.00,,
,,,,,,"Pensioner (spa)","No or none",786,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",786,0.00,,
,,,,,,"Total","No or none",6118,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6118,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",3705,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3705,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",3705,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3705,0.00,,
,,,,,"Total","Working-age","No or none",21116,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",21116,0.00,,
,,,,,,"Pensioner (spa)","No or none",1942,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1942,0.00,,
,,,,,,"Total","No or none",23058,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",23058,0.00,,
,,,,"£200 - £249.99","Social renting","Working-age","No or none",722,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",722,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",722,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",722,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",4766,0.00,,
,,,,,,,"Yes",2873,0.00,,
,,,,,,,"Total",7639,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",4766,0.00,,
,,,,,,,"Yes",2873,0.00,,
,,,,,,,"Total",7639,0.00,,
,,,,,"Owned outright","Working-age","No or none",5947,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5947,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5947,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",5947,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",13559,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",13559,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",13559,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",13559,0.00,,
,,,,,"Total","Working-age","No or none",24994,0.00,,
,,,,,,,"Yes",2873,0.00,,
,,,,,,,"Total",27867,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",24994,0.00,,
,,,,,,,"Yes",2873,0.00,,
,,,,,,,"Total",27867,0.00,,
,,,,"£250 - £299.99","Social renting","Working-age","No or none",6105,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6105,0.00,,
,,,,,,"Pensioner (spa)","No or none",976,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",976,0.00,,
,,,,,,"Total","No or none",7081,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",7081,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",16890,0.00,,
,,,,,,,"Yes",1392,0.00,,
,,,,,,,"Total",18282,0.00,,
,,,,,,"Pensioner (spa)","No or none",944,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",944,0.00,,
,,,,,,"Total","No or none",17834,0.00,,
,,,,,,,"Yes",1392,0.00,,
,,,,,,,"Total",19226,0.00,,
,,,,,"Owned outright","Working-age","No or none",5907,0.00,,
,,,,,,,"Yes",971,0.00,,
,,,,,,,"Total",6878,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",5907,0.00,,
,,,,,,,"Yes",971,0.00,,
,,,,,,,"Total",6878,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",9592,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9592,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",9592,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",9592,0.00,,
,,,,,"Total","Working-age","No or none",38494,0.00,,
,,,,,,,"Yes",2363,0.00,,
,,,,,,,"Total",40857,0.00,,
,,,,,,"Pensioner (spa)","No or none",1920,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1920,0.00,,
,,,,,,"Total","No or none",40414,0.00,,
,,,,,,,"Yes",2363,0.00,,
,,,,,,,"Total",42777,0.00,,
,,,,"£300 - £399.99","Social renting","Working-age","No or none",26564,0.00,,
,,,,,,,"Yes",3802,0.00,,
,,,,,,,"Total",30366,0.00,,
,,,,,,"Pensioner (spa)","No or none",911,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",911,0.00,,
,,,,,,"Total","No or none",27475,0.00,,
,,,,,,,"Yes",3802,0.00,,
,,,,,,,"Total",31277,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",41417,0.00,,
,,,,,,,"Yes",2953,0.00,,
,,,,,,,"Total",44370,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",41417,0.00,,
,,,,,,,"Yes",2953,0.00,,
,,,,,,,"Total",44370,0.00,,
,,,,,"Owned outright","Working-age","No or none",27235,0.00,,
,,,,,,,"Yes",1743,0.00,,
,,,,,,,"Total",28978,0.00,,
,,,,,,"Pensioner (spa)","No or none",2343,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2343,0.00,,
,,,,,,"Total","No or none",29578,0.00,,
,,,,,,,"Yes",1743,0.00,,
,,,,,,,"Total",31321,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",59497,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",59497,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",59497,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",59497,0.00,,
,,,,,"Total","Working-age","No or none",154713,0.00,,
,,,,,,,"Yes",8498,0.00,,
,,,,,,,"Total",163211,0.00,,
,,,,,,"Pensioner (spa)","No or none",3254,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",3254,0.00,,
,,,,,,"Total","No or none",157967,0.00,,
,,,,,,,"Yes",8498,0.00,,
,,,,,,,"Total",166465,0.00,,
,,,,"£400 - £499.99","Social renting","Working-age","No or none",17445,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",17445,0.00,,
,,,,,,"Pensioner (spa)","No or none",686,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",686,0.00,,
,,,,,,"Total","No or none",18131,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",18131,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",45492,0.00,,
,,,,,,,"Yes",2033,0.00,,
,,,,,,,"Total",47525,0.00,,
,,,,,,"Pensioner (spa)","No or none",716,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",716,0.00,,
,,,,,,"Total","No or none",46208,0.00,,
,,,,,,,"Yes",2033,0.00,,
,,,,,,,"Total",48241,0.00,,
,,,,,"Owned outright","Working-age","No or none",41539,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",41539,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",41539,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",41539,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",83471,0.00,,
,,,,,,,"Yes",816,0.00,,
,,,,,,,"Total",84287,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",83471,0.00,,
,,,,,,,"Yes",816,0.00,,
,,,,,,,"Total",84287,0.00,,
,,,,,"Total","Working-age","No or none",187947,0.00,,
,,,,,,,"Yes",2849,0.00,,
,,,,,,,"Total",190796,0.00,,
,,,,,,"Pensioner (spa)","No or none",1402,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1402,0.00,,
,,,,,,"Total","No or none",189349,0.00,,
,,,,,,,"Yes",2849,0.00,,
,,,,,,,"Total",192198,0.00,,
,,,,"£500 or more","Social renting","Working-age","No or none",21319,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",21319,0.00,,
,,,,,,"Pensioner (spa)","No or none",730,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",730,0.00,,
,,,,,,"Total","No or none",22049,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",22049,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",66350,0.00,,
,,,,,,,"Yes",1093,0.00,,
,,,,,,,"Total",67443,0.00,,
,,,,,,"Pensioner (spa)","No or none",2037,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",2037,0.00,,
,,,,,,"Total","No or none",68387,0.00,,
,,,,,,,"Yes",1093,0.00,,
,,,,,,,"Total",69480,0.00,,
,,,,,"Owned outright","Working-age","No or none",80083,0.00,,
,,,,,,,"Yes",1715,0.00,,
,,,,,,,"Total",81798,0.00,,
,,,,,,"Pensioner (spa)","No or none",6964,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",6964,0.00,,
,,,,,,"Total","No or none",87047,0.00,,
,,,,,,,"Yes",1715,0.00,,
,,,,,,,"Total",88762,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",301819,0.00,,
,,,,,,,"Yes",4212,0.00,,
,,,,,,,"Total",306031,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",301819,0.00,,
,,,,,,,"Yes",4212,0.00,,
,,,,,,,"Total",306031,0.00,,
,,,,,"Total","Working-age","No or none",469571,0.00,,
